Model A,Model B,N,HAC Lag,Mean loss differential,DM statistic,Raw p-value,Lower-RMSE model,Absolute RMSE difference,Relative RMSE difference,Practical interpretation,Holm-adjusted p-value,Significant raw?,Significant Holm?
Naive,Simple Exponential Smoothing — Rolling One-Step,1061,6,-7814.318038493775,-0.39672953435628805,0.6915669184501864,Naive,2.1066507558637113,0.0011365033451138538,Small,1.0,False,False
Naive,Additive-Trend Exponential Smoothing,1061,6,-67344.26883019399,-2.1294735276963657,0.033215102803820014,Naive,18.07741161303602,0.009752465477265191,Small,0.2934752967550596,True,False
Naive,ARIMA Rolling One-Step,1061,6,-47161.56021418817,-1.1454722128191863,0.25201359966089376,Naive,12.678085401191993,0.006839618018310947,Small,1.0,False,False
Naive,7-Day Moving Average,1061,6,-5561705.79227691,-7.57306473015166,3.6452055498243886e-14,Naive,1145.980299308165,0.6182374748036137,Moderate/Large,9.84205498452585e-13,True,True
Naive,Prophet — 30-Day Periodic Refit,1061,6,-112797548.09326361,-8.787770585150328,1.52557105131573e-18,Naive,8927.538099359874,4.816259593723695,Moderate/Large,5.91889306841787e-17,True,True
Naive,Persistence-Enhanced Log-Return LSTM,1061,6,-102579.26339798879,-2.7183829382190368,0.0065601864605001866,Naive,27.466416294234023,0.014817678682524874,Small,0.07872223752600224,True,False
Naive,Persistence-Enhanced Log-Return Transformer,1061,6,-3116394.287884306,-12.305207972807239,8.491741533093606e-35,Naive,706.12503626166,0.3809428133952812,Small,3.7363662745611865e-33,True,True
Naive,Chronos-Bolt-Tiny,1061,6,-540142.8089755084,-5.294011051538071,1.196621965434146e-07,Naive,140.38315272803993,0.07573439604498362,Small,2.632568323955121e-06,True,True
Naive,TimesFM,1061,6,-266618.2866569628,-4.204845723203203,2.612603040118869e-05,Naive,70.57456325429393,0.03807381313452193,Small,0.00044414251682020774,True,True
Simple Exponential Smoothing — Rolling One-Step,Additive-Trend Exponential Smoothing,1061,6,-59529.95079170021,-2.3400875317351724,0.019279220814251992,Simple Exponential Smoothing — Rolling One-Step,15.970760857172309,0.00860618117845337,Small,0.1927922081425199,True,False
Simple Exponential Smoothing — Rolling One-Step,ARIMA Rolling One-Step,1061,6,-39347.24217569437,-1.1625438764315894,0.24501461295431748,Simple Exponential Smoothing — Rolling One-Step,10.571434645328281,0.005696640422301237,Small,1.0,False,False
Simple Exponential Smoothing — Rolling One-Step,7-Day Moving Average,1061,6,-5553891.474238414,-7.613281497428178,2.672229081020626e-14,Simple Exponential Smoothing — Rolling One-Step,1143.8736485523013,0.6164004303075258,Moderate/Large,7.482241426857753e-13,True,True
Simple Exponential Smoothing — Rolling One-Step,Prophet — 30-Day Periodic Refit,1061,6,-112789733.77522512,-8.78835445479986,1.5176648893379154e-18,Simple Exponential Smoothing — Rolling One-Step,8925.431448604011,4.809656899223764,Moderate/Large,5.91889306841787e-17,True,True
Simple Exponential Smoothing — Rolling One-Step,Persistence-Enhanced Log-Return LSTM,1061,6,-94764.945359495,-2.136872462762041,0.032608366306117735,Simple Exponential Smoothing — Rolling One-Step,25.35976553837031,0.013665644286965747,Small,0.2934752967550596,True,False
Simple Exponential Smoothing — Rolling One-Step,Persistence-Enhanced Log-Return Transformer,1061,6,-3108579.9698458123,-12.296315445452036,9.480078884799364e-35,Simple Exponential Smoothing — Rolling One-Step,704.0183855057962,0.37937514892436175,Small,4.0764339204637265e-33,True,True
Simple Exponential Smoothing — Rolling One-Step,Chronos-Bolt-Tiny,1061,6,-532328.4909370148,-5.22051826554622,1.7842310750405732e-07,Simple Exponential Smoothing — Rolling One-Step,138.27650197217622,0.07451320818950723,Small,3.7468852575852035e-06,True,True
Simple Exponential Smoothing — Rolling One-Step,TimesFM,1061,6,-258803.96861846905,-4.470639070948551,7.798621290666975e-06,Simple Exponential Smoothing — Rolling One-Step,68.46791249843022,0.036895378068813635,Small,0.00014037518323200556,True,True
Additive-Trend Exponential Smoothing,ARIMA Rolling One-Step,1061,6,20182.708616005817,0.4798682034226809,0.6313211119373474,ARIMA Rolling One-Step,5.399326211844027,0.0028930600334215986,Small,1.0,False,False
Additive-Trend Exponential Smoothing,7-Day Moving Average,1061,6,-5494361.5234467145,-7.480719013232617,7.391707046395582e-14,Additive-Trend Exponential Smoothing,1127.902887695129,0.6026080946865969,Moderate/Large,1.8479267615988953e-12,True,True
Additive-Trend Exponential Smoothing,Prophet — 30-Day Periodic Refit,1061,6,-112730203.82443343,-8.784383619629324,1.5722426451336023e-18,Additive-Trend Exponential Smoothing,8909.460687746838,4.760084567829807,Moderate/Large,5.91889306841787e-17,True,True
Additive-Trend Exponential Smoothing,Persistence-Enhanced Log-Return LSTM,1061,6,-35234.9945677948,-0.7275782049077555,0.4668718263965157,Additive-Trend Exponential Smoothing,9.389004681198003,0.005016291990795567,Small,1.0,False,False
Additive-Trend Exponential Smoothing,Persistence-Enhanced Log-Return Transformer,1061,6,-3049050.0190541116,-11.845861248216602,2.2608369836696557e-32,Additive-Trend Exponential Smoothing,688.0476246486239,0.3676052900178568,Small,9.269431633045587e-31,True,True
Additive-Trend Exponential Smoothing,Chronos-Bolt-Tiny,1061,6,-472798.5401453145,-4.79274248094932,1.6451674345052308e-06,Additive-Trend Exponential Smoothing,122.30574111500391,0.06534465903634283,Small,3.2903348690104615e-05,True,True
Additive-Trend Exponential Smoothing,TimesFM,1061,6,-199274.01782676883,-2.920341090963988,0.0034964846421476456,Additive-Trend Exponential Smoothing,52.497151641257915,0.02804781233573963,Small,0.04545430034791939,True,True
ARIMA Rolling One-Step,7-Day Moving Average,1061,6,-5514544.23206272,-7.621641647522358,2.5046958059705654e-14,ARIMA Rolling One-Step,1133.302213906973,0.6072445361145726,Moderate/Large,7.26361783731464e-13,True,True
ARIMA Rolling One-Step,Prophet — 30-Day Periodic Refit,1061,6,-112750386.53304943,-8.785320716596223,1.5591903918396662e-18,ARIMA Rolling One-Step,8914.860013958682,4.776748838282124,Moderate/Large,5.91889306841787e-17,True,True
ARIMA Rolling One-Step,Persistence-Enhanced Log-Return LSTM,1061,6,-55417.70318380063,-0.8940513318087249,0.37129442709564,ARIMA Rolling One-Step,14.78833089304203,0.00792386445809171,Small,1.0,False,False
ARIMA Rolling One-Step,Persistence-Enhanced Log-Return Transformer,1061,6,-3069232.7276701177,-11.870475294848625,1.6850755591589496e-32,ARIMA Rolling One-Step,693.446950860468,0.3715618542239034,Small,7.0773173484675885e-31,True,True
ARIMA Rolling One-Step,Chronos-Bolt-Tiny,1061,6,-492981.2487613203,-4.663446353955594,3.1095727468736542e-06,ARIMA Rolling One-Step,127.70506732684794,0.06842676509122003,Small,5.9081882190599433e-05,True,True
ARIMA Rolling One-Step,TimesFM,1061,6,-219456.72644277467,-3.1593692890197054,0.0015811100635596655,ARIMA Rolling One-Step,57.89647785310194,0.031022016374054665,Small,0.02213554088983532,True,True
7-Day Moving Average,Prophet — 30-Day Periodic Refit,1061,6,-107235842.3009867,-8.427754139743017,3.5236241641917936e-17,7-Day Moving Average,7781.557800051709,2.5941941057999203,Moderate/Large,1.057087249257538e-15,True,True
7-Day Moving Average,Persistence-Enhanced Log-Return LSTM,1061,6,5459126.52887892,7.30574732985072,2.757298845454864e-13,Persistence-Enhanced Log-Return LSTM,1118.513883013931,0.5946090699804043,Moderate/Large,6.617517229091674e-12,True,True
7-Day Moving Average,Persistence-Enhanced Log-Return Transformer,1061,6,2445311.5043926025,3.255474587357424,0.0011320302672748804,Persistence-Enhanced Log-Return Transformer,439.8552630465051,0.17183525567210384,Small,0.016980454009123205,True,True
7-Day Moving Average,Chronos-Bolt-Tiny,1061,6,5021562.9833014,6.973421680902091,3.0932367170126935e-12,Chronos-Bolt-Tiny,1005.5971465801251,0.5043095031200847,Moderate/Large,7.114444449129195e-11,True,True
7-Day Moving Average,TimesFM,1061,6,5295087.505619946,7.538693580973691,4.74702916643876e-14,TimesFM,1075.4057360538711,0.5588847867352084,Moderate/Large,1.2342275832740775e-12,True,True
Prophet — 30-Day Periodic Refit,Persistence-Enhanced Log-Return LSTM,1061,6,112694968.82986562,8.778121813924662,1.6622718053929075e-18,Persistence-Enhanced Log-Return LSTM,8900.07168306564,4.731334520378661,Moderate/Large,5.91889306841787e-17,True,True
Prophet — 30-Day Periodic Refit,Persistence-Enhanced Log-Return Transformer,1061,6,109681153.8053793,8.551231069434621,1.217825432944604e-17,Persistence-Enhanced Log-Return Transformer,8221.413063098214,3.211803368905218,Moderate/Large,3.7752588421282725e-16,True,True
Prophet — 30-Day Periodic Refit,Chronos-Bolt-Tiny,1061,6,112257405.2842881,8.757056566541113,2.004150927568589e-18,Chronos-Bolt-Tiny,8787.154946631834,4.406780349413015,Moderate/Large,6.613698060976344e-17,True,True
Prophet — 30-Day Periodic Refit,TimesFM,1061,6,112530929.80660665,8.772417602859141,1.7487047426384777e-18,TimesFM,8856.96353610558,4.602934512104851,Moderate/Large,5.945596124970824e-17,True,True
