Model A,Model B,Mean Absolute-Error Difference,Paired Standardized Absolute-Error Difference (dz),Absolute Effect-Size Magnitude,HAC DM statistic,Raw p-value,Holm-adjusted p-value,Significant Holm?,Absolute RMSE difference,Relative RMSE difference
Persistence-Enhanced Log-Return LSTM,Persistence-Enhanced Log-Return Transformer,-698.001031390061,-0.6013800848014917,moderate,-13.126893506640506,2.309373344122007e-39,1.0392180048549032e-37,True,678.6586199674259,0.3607792240947891
Naive,Persistence-Enhanced Log-Return Transformer,-729.0130997536204,-0.5374572759740858,moderate,-12.30520797280724,8.491741533093605e-35,3.7363662745611865e-33,True,706.12503626166,0.3809428133952812
Simple Exponential Smoothing — Rolling One-Step,Persistence-Enhanced Log-Return Transformer,-729.0076581224907,-0.5372512212645068,moderate,-12.296315445452036,9.480078884799363e-35,4.076433920463727e-33,True,704.0183855057962,0.3793751489243617
ARIMA Rolling One-Step,Persistence-Enhanced Log-Return Transformer,-719.4917043841874,-0.5137168442532785,moderate,-11.870475294848625,1.6850755591589496e-32,7.0773173484675885e-31,True,693.446950860468,0.3715618542239034
Additive-Trend Exponential Smoothing,Persistence-Enhanced Log-Return Transformer,-710.8250282664505,-0.5065321151631377,moderate,-11.845861248216602,2.260836983669656e-32,9.269431633045587e-31,True,688.0476246486239,0.3676052900178568
Persistence-Enhanced Log-Return Transformer,TimesFM,669.419556368842,0.4779296350644157,small,11.272504489970212,1.7939331400004786e-29,7.175732560001915e-28,True,635.550473007366,0.3302934684629479
Additive-Trend Exponential Smoothing,Prophet — 30-Day Periodic Refit,-6886.721548285423,-0.9947062641694038,large,-8.784383619629324,1.5722426451336025e-18,5.918893068417871e-17,True,8909.460687746838,4.760084567829807
ARIMA Rolling One-Step,Prophet — 30-Day Periodic Refit,-6895.38822440316,-0.995606387351768,large,-8.785320716596223,1.5591903918396662e-18,5.918893068417871e-17,True,8914.860013958682,4.776748838282124
Simple Exponential Smoothing — Rolling One-Step,Prophet — 30-Day Periodic Refit,-6904.904178141463,-0.9979855726357935,large,-8.78835445479986,1.5176648893379154e-18,5.918893068417871e-17,True,8925.431448604011,4.809656899223764
Prophet — 30-Day Periodic Refit,Persistence-Enhanced Log-Return LSTM,6873.897551409033,0.9875657699422357,large,8.778121813924662,1.6622718053929077e-18,5.918893068417871e-17,True,8900.07168306564,4.731334520378661
Naive,Prophet — 30-Day Periodic Refit,-6904.909619772593,-0.9961254457462615,large,-8.787770585150328,1.52557105131573e-18,5.918893068417871e-17,True,8927.538099359874,4.816259593723695
Prophet — 30-Day Periodic Refit,TimesFM,6845.316076387815,0.9929856246851978,large,8.772417602859141,1.7487047426384777e-18,5.945596124970824e-17,True,8856.96353610558,4.602934512104851
Prophet — 30-Day Periodic Refit,Chronos-Bolt-Tiny,6771.237034431523,0.980510724663214,large,8.757056566541113,2.004150927568589e-18,6.613698060976344e-17,True,8787.154946631834,4.406780349413015
Persistence-Enhanced Log-Return Transformer,Chronos-Bolt-Tiny,595.3405144125508,0.37681863012853484,small,8.667769370556217,4.4066818305564456e-18,1.4101381857780626e-16,True,565.74188353362,0.2837209802646626
Prophet — 30-Day Periodic Refit,Persistence-Enhanced Log-Return Transformer,6175.896520018972,0.881620658016167,large,8.551231069434621,1.2178254329446039e-17,3.7752588421282725e-16,True,8221.413063098214,3.211803368905218
7-Day Moving Average,Prophet — 30-Day Periodic Refit,-5985.486708772189,-0.8780838773518879,large,-8.427754139743017,3.5236241641917936e-17,1.057087249257538e-15,True,7781.557800051709,2.5941941057999203
ARIMA Rolling One-Step,7-Day Moving Average,-909.9015156309707,-0.5200771304882136,moderate,-7.621641647522358,2.504695805970565e-14,7.26361783731464e-13,True,1133.302213906973,0.6072445361145726
Simple Exponential Smoothing — Rolling One-Step,7-Day Moving Average,-919.4174693692742,-0.5188922426506734,moderate,-7.613281497428178,2.6722290810206263e-14,7.482241426857754e-13,True,1143.8736485523011,0.6164004303075258
Naive,7-Day Moving Average,-919.4229110004039,-0.5096845699436875,moderate,-7.57306473015166,3.6452055498243886e-14,9.84205498452585e-13,True,1145.980299308165,0.6182374748036137
7-Day Moving Average,TimesFM,859.8293676156254,0.505213266546752,moderate,7.538693580973691,4.74702916643876e-14,1.2342275832740777e-12,True,1075.4057360538711,0.5588847867352084
Additive-Trend Exponential Smoothing,7-Day Moving Average,-901.234839513234,-0.49984003808982347,small,-7.480719013232617,7.391707046395583e-14,1.8479267615988957e-12,True,1127.902887695129,0.6026080946865969
7-Day Moving Average,Persistence-Enhanced Log-Return LSTM,888.4108426368443,0.4749387492691889,small,7.30574732985072,2.757298845454864e-13,6.617517229091674e-12,True,1118.513883013931,0.5946090699804043
7-Day Moving Average,Chronos-Bolt-Tiny,785.7503256593342,0.4367123552659272,small,6.973421680902091,3.0932367170126935e-12,7.114444449129195e-11,True,1005.5971465801252,0.5043095031200847
Naive,Chronos-Bolt-Tiny,-133.67258534106975,-0.2173777965442891,small,-5.294011051538071,1.196621965434146e-07,2.632568323955121e-06,True,140.38315272803993,0.0757343960449836
Simple Exponential Smoothing — Rolling One-Step,Chronos-Bolt-Tiny,-133.66714370993998,-0.2183808225937849,small,-5.22051826554622,1.7842310750405734e-07,3.746885257585204e-06,True,138.27650197217622,0.0745132081895072
Additive-Trend Exponential Smoothing,Chronos-Bolt-Tiny,-115.48451385389977,-0.19837145821649385,negligible,-4.79274248094932,1.6451674345052308e-06,3.2903348690104615e-05,True,122.30574111500393,0.0653446590363428
ARIMA Rolling One-Step,Chronos-Bolt-Tiny,-124.1511899716366,-0.19733229272504316,negligible,-4.663446353955594,3.1095727468736542e-06,5.9081882190599433e-05,True,127.70506732684794,0.06842676509122
Simple Exponential Smoothing — Rolling One-Step,TimesFM,-59.58810175364873,-0.1460147717695641,negligible,-4.470639070948551,7.798621290666975e-06,0.000140375183232,True,68.46791249843022,0.0368953780688136
Naive,TimesFM,-59.59354338477849,-0.13504738622057838,negligible,-4.204845723203203,2.612603040118869e-05,0.0004441425168202,True,70.57456325429393,0.0380738131345219
Persistence-Enhanced Log-Return LSTM,Chronos-Bolt-Tiny,-102.6605169775102,-0.14201612670946748,negligible,-3.7150924526762674,0.0002031294118558,0.0032500705896938,True,112.91673643380592,0.0600272528180068
7-Day Moving Average,Persistence-Enhanced Log-Return Transformer,190.40981124678345,0.09047195520990929,negligible,3.255474587357424,0.0011320302672748,0.0169804540091232,True,439.8552630465051,0.1718352556721038
ARIMA Rolling One-Step,TimesFM,-50.072148015345356,-0.10840563476317851,negligible,-3.1593692890197054,0.0015811100635596,0.0221355408898353,True,57.89647785310194,0.0310220163740546
Additive-Trend Exponential Smoothing,TimesFM,-41.40547189760852,-0.08407850976577207,negligible,-2.920341090963988,0.0034964846421476,0.0454543003479193,True,52.49715164125792,0.0280478123357396
Naive,Persistence-Enhanced Log-Return LSTM,-31.012068363559532,-0.09894587938151071,negligible,-2.7183829382190368,0.0065601864605001,0.0787222375260022,False,27.466416294234023,0.0148176786825248
Chronos-Bolt-Tiny,TimesFM,74.07904195629125,0.11629240593388797,negligible,2.5420568873565355,0.0110202235670862,0.121222459237949,False,69.808589473746,0.0362792919289076
Simple Exponential Smoothing — Rolling One-Step,Additive-Trend Exponential Smoothing,-18.18262985604022,-0.08298440240174564,negligible,-2.3400875317351724,0.0192792208142519,0.1927922081425199,False,15.970760857172309,0.0086061811784533
Persistence-Enhanced Log-Return LSTM,TimesFM,-28.58147502121896,-0.05062108310280567,negligible,-2.1138963631373047,0.0345241199377201,0.2934752967550596,False,43.10814696005991,0.0229165641676533
Naive,Additive-Trend Exponential Smoothing,-18.188071487169974,-0.06826334922794133,negligible,-2.1294735276963657,0.03321510280382,0.2934752967550596,False,18.07741161303602,0.0097524654772651
Simple Exponential Smoothing — Rolling One-Step,Persistence-Enhanced Log-Return LSTM,-31.006626732429773,-0.08854734917471432,negligible,-2.136872462762041,0.0326083663061177,0.2934752967550596,False,25.35976553837031,0.0136656442869657
