Model,MAE,RMSE,MAPE,sMAPE,MASE,N,Relative MAE vs Naive
Naive,1290.3532422243168,1853.6247736716243,1.742746521465369,1.7441417265023809,4.575632930225214,1061,1.0
Simple Exponential Smoothing — Rolling One-Step,1290.3586838554463,1855.731424427488,1.742684503138682,1.7438706638415447,4.575652226419291,1061,1.000004217163914
Additive-Trend Exponential Smoothing,1308.5413137114867,1871.7021852846603,1.7636397847762826,1.7634242845198493,4.640128400233509,1061,1.014095420456973
ARIMA Rolling One-Step,1299.8746375937496,1866.3028590728163,1.754003843176303,1.7542088564346432,4.609396095820839,1061,1.0073789060684033
7-Day Moving Average,2209.7761532247205,2999.6050729797894,3.021809829291693,3.024207684293784,7.835935311552228,1061,1.7125358242332915
Prophet — 30-Day Periodic Refit,8195.262861996911,10781.162873031499,11.199767058617569,11.287185079510287,29.06065827258642,1061,6.351177796763528
Persistence-Enhanced Log-Return LSTM,1321.3653105878764,1881.0911899658583,1.7839563296496557,1.7916454886549884,4.685602694004078,1061,1.0240337818736371
Persistence-Enhanced Log-Return Transformer,2019.366341977937,2559.7498099332843,2.710935954361162,2.75927148965043,7.160736169124459,1061,1.5649717270419254
Chronos-Bolt-Tiny,1424.0258275653864,1994.0079263996643,1.934509000360176,1.928782487065369,5.049640096123907,1061,1.1035937919686583
TimesFM,1349.9467856090953,1924.1993369259183,1.8231794164362922,1.823894758464343,4.786953497816577,1061,1.0461838986679732
