Regime,Model,N,MAE,RMSE,MAPE,sMAPE,MASE
Low Volatility,Naive,676,1084.3425739644972,1529.2144186439198,1.3944182025282252,1.3932823166650246,3.845112661184448
Low Volatility,Simple Exponential Smoothing — Rolling One-Step,676,1092.1799439790059,1540.7423829420231,1.40722253166824,1.405856446677537,3.8729042202329826
Low Volatility,Additive-Trend Exponential Smoothing,676,1107.0880011088807,1543.5736415616468,1.422054354707804,1.4200056849310132,3.925768656805054
Low Volatility,ARIMA Rolling One-Step,676,1102.7363851508783,1552.531432666357,1.4251730886153078,1.4232109598188991,3.9103376905970677
Low Volatility,7-Day Moving Average,676,1980.6173372781066,2650.216436019806,2.620608836627505,2.618144517364174,7.023330987259404
Low Volatility,Prophet — 30-Day Periodic Refit,676,7515.533778310014,9909.70345321058,10.015002084811346,10.061381468981752,26.650317695158012
Low Volatility,Persistence-Enhanced Log-Return LSTM,676,1119.5789594507694,1553.5240855025882,1.438762824166348,1.442466910110989,3.970061985522309
Low Volatility,Persistence-Enhanced Log-Return Transformer,676,1941.3189971135218,2384.555004288129,2.489581926013208,2.528884552985428,6.883977844665442
Low Volatility,Chronos-Bolt-Tiny,676,1197.0531155232989,1643.695042243518,1.550296934779946,1.5448858446999316,4.244787764608814
Low Volatility,TimesFM,676,1160.0536314256658,1617.7937745764766,1.4964881355665414,1.4955202405665526,4.113586437484901
High Volatility,Naive,81,2154.8765432098767,2991.583302253338,2.99225726373403,2.989846139865717,7.641259578411572
High Volatility,Simple Exponential Smoothing — Rolling One-Step,81,2134.0576141635725,2975.692511386809,2.9608224572665884,2.9573909304257042,7.56743500526439
High Volatility,Additive-Trend Exponential Smoothing,81,2143.930282345104,3007.6550101928906,2.969442125037794,2.9631881850176756,7.6024437952316495
High Volatility,ARIMA Rolling One-Step,81,2097.853821728577,2909.849598716033,2.910746866467128,2.9034340024090897,7.439055225647572
High Volatility,7-Day Moving Average,81,3000.1093474426807,4170.859265831095,4.0639160780091785,4.060082342711373,10.63848152213874
High Volatility,Prophet — 30-Day Periodic Refit,81,11377.559298970438,14327.143627202828,15.858793277722604,15.290844297766176,40.345180908925975
High Volatility,Persistence-Enhanced Log-Return LSTM,81,2159.254270165055,3011.9536680273145,2.993910505559558,3.0048164013503276,7.65678313503171
High Volatility,Persistence-Enhanced Log-Return Transformer,81,2589.3714374384763,3404.2462961033766,3.5530959029710596,3.6212213379932736,9.181992054597725
High Volatility,Chronos-Bolt-Tiny,81,2255.287953317901,3082.2466868806264,3.1430213475967195,3.120489381294478,7.997321577270606
High Volatility,TimesFM,81,2198.7361111111113,3045.5647003676722,3.0492052858431182,3.0414461198651632,7.796786977132558
Major Upward Movement,Naive,131,3012.621679389313,3370.3964460837606,4.201414403475217,4.308455355969571,10.682850642326503
Major Upward Movement,Simple Exponential Smoothing — Rolling One-Step,131,2988.8316090729313,3352.705268331168,4.166662075767425,4.27239431522416,10.59849030936499
Major Upward Movement,Additive-Trend Exponential Smoothing,131,2933.778958803959,3313.462327206889,4.080359367638298,4.1833737907825945,10.40327189069953
Major Upward Movement,ARIMA Rolling One-Step,131,2936.6570517995638,3301.0937395025235,4.09872451640691,4.201123447275661,10.413477698424117
Major Upward Movement,7-Day Moving Average,131,3222.730970556161,4035.5842742778477,4.558766612048042,4.700950335990619,11.427904756308555
Major Upward Movement,Prophet — 30-Day Periodic Refit,131,8255.690469986905,10921.356764094577,11.577525074647964,11.997193741940421,29.2749364593387
Major Upward Movement,Persistence-Enhanced Log-Return LSTM,131,3252.3322267612693,3615.754735700141,4.533280687442468,4.656275463072554,11.532871736075
Major Upward Movement,Persistence-Enhanced Log-Return Transformer,131,4553.308661383673,4900.648107800941,6.333850579418569,6.557670154904803,16.146174838598938
Major Upward Movement,Chronos-Bolt-Tiny,131,2808.250020276718,3205.191045069079,3.9150508837896196,4.012260184665011,9.958142350953226
Major Upward Movement,TimesFM,131,3005.935060233779,3387.1692764805916,4.196682243331803,4.30460327972424,10.65913968179356
Major Downward Movement,Naive,174,2642.209885057471,3004.313232078977,3.6120266795640155,3.5322993188191267,9.369358841455787
Major Downward Movement,Simple Exponential Smoothing — Rolling One-Step,174,2644.0265497170076,3013.2439917138554,3.6216187957036157,3.540775396298237,9.375800791123012
Major Downward Movement,Additive-Trend Exponential Smoothing,174,2695.1216875083114,3079.38740109194,3.690261888950038,3.6060825855728584,9.556985746840466
Major Downward Movement,ARIMA Rolling One-Step,174,2687.7308697950953,3062.5066801505604,3.671341365914549,3.5882065203874705,9.53077767621045
Major Downward Movement,7-Day Moving Average,174,3215.3822906403934,4183.552465442307,4.451817553490256,4.305203488982548,11.401846107625417
Major Downward Movement,Prophet — 30-Day Periodic Refit,174,8985.974174627927,11584.23045963588,12.471569264778914,12.190963691663855,31.864545302884686
Major Downward Movement,Persistence-Enhanced Log-Return LSTM,174,2356.7799155081316,2741.5711947120894,3.2269874580255182,3.1602275072316166,8.357215247588567
Major Downward Movement,Persistence-Enhanced Log-Return Transformer,174,986.6378173664937,1574.2595573512322,1.3877205485566548,1.363835064102323,3.4986485402753407
Major Downward Movement,Chronos-Bolt-Tiny,174,2940.713017690374,3376.049614313937,4.024088023113417,3.9233282085480132,10.427860280252538
Major Downward Movement,TimesFM,174,2691.010936602012,3087.1472904282305,3.69857646709689,3.612686967847778,9.542408895634672
