Segment,Model,N,Start,End,MAE,RMSE,MAPE,sMAPE,MASE
Earlier,Naive,354,2023-08-12 00:00:00+00:00,2024-07-30 00:00:00+00:00,936.2570621468926,1408.7152649631198,1.796094790812083,1.8012532383233248,3.319996807487004
Earlier,Simple Exponential Smoothing — Rolling One-Step,354,2023-08-12 00:00:00+00:00,2024-07-30 00:00:00+00:00,931.3464949447784,1410.1717628117426,1.7908488646289116,1.7955621770170918,3.3025837826959434
Earlier,Additive-Trend Exponential Smoothing,354,2023-08-12 00:00:00+00:00,2024-07-30 00:00:00+00:00,944.9466864796842,1428.9028804333695,1.8124187708833468,1.8113187261165447,3.3508104869875632
Earlier,ARIMA Rolling One-Step,354,2023-08-12 00:00:00+00:00,2024-07-30 00:00:00+00:00,923.0164046105945,1402.6616221128556,1.7827945709704944,1.7873194088952902,3.2730450219926035
Earlier,7-Day Moving Average,354,2023-08-12 00:00:00+00:00,2024-07-30 00:00:00+00:00,1613.532284100081,2246.4625439894007,3.1715770562814987,3.2036199426143024,5.721635914505942
Earlier,Prophet — 30-Day Periodic Refit,354,2023-08-12 00:00:00+00:00,2024-07-30 00:00:00+00:00,6170.482235092937,8067.194791647919,11.862023992629316,12.125283764779377,21.88072287987688
Earlier,Persistence-Enhanced Log-Return LSTM,354,2023-08-12 00:00:00+00:00,2024-07-30 00:00:00+00:00,960.5459534101564,1429.0523898756635,1.8496800535387745,1.8594519263933376,3.4061259751180866
Earlier,Persistence-Enhanced Log-Return Transformer,354,2023-08-12 00:00:00+00:00,2024-07-30 00:00:00+00:00,1428.8697665305122,1863.520008790895,2.86550253601482,2.919899455037456,5.066816855103971
Earlier,Chronos-Bolt-Tiny,354,2023-08-12 00:00:00+00:00,2024-07-30 00:00:00+00:00,1033.2159416931497,1531.946846595998,2.0085017714172966,2.005858362586965,3.6638160250563194
Earlier,TimesFM,354,2023-08-12 00:00:00+00:00,2024-07-30 00:00:00+00:00,959.7971067266949,1447.1540272298068,1.8568808573846822,1.863368306068984,3.40347054137141
Middle,Naive,354,2024-07-31 00:00:00+00:00,2025-07-19 00:00:00+00:00,1533.8107344632767,2142.9065792387296,1.8051111308810097,1.8097459028881189,5.438940807592473
Middle,Simple Exponential Smoothing — Rolling One-Step,354,2024-07-31 00:00:00+00:00,2025-07-19 00:00:00+00:00,1533.789997087905,2142.3095727390473,1.8021588577347818,1.806897205405717,5.438867272211205
Middle,Additive-Trend Exponential Smoothing,354,2024-07-31 00:00:00+00:00,2025-07-19 00:00:00+00:00,1562.4551081404816,2164.0314880301526,1.8331652986289626,1.8363802636929973,5.540514652005156
Middle,ARIMA Rolling One-Step,354,2024-07-31 00:00:00+00:00,2025-07-19 00:00:00+00:00,1546.951757440546,2150.1165880701565,1.8176654179509995,1.8218909059971917,5.485539285826223
Middle,7-Day Moving Average,354,2024-07-31 00:00:00+00:00,2025-07-19 00:00:00+00:00,2594.5347054075864,3394.6931663390874,3.0775625418620276,3.0900631329487225,9.200301164207364
Middle,Prophet — 30-Day Periodic Refit,354,2024-07-31 00:00:00+00:00,2025-07-19 00:00:00+00:00,8304.07784080654,11119.22749569468,9.142416895260821,9.195936106847983,29.44651958873642
Middle,Persistence-Enhanced Log-Return LSTM,354,2024-07-31 00:00:00+00:00,2025-07-19 00:00:00+00:00,1576.1507219677255,2186.023496345189,1.8492502871594496,1.8600036216387335,5.589079726728075
Middle,Persistence-Enhanced Log-Return Transformer,354,2024-07-31 00:00:00+00:00,2025-07-19 00:00:00+00:00,2430.9875503030876,2996.082331464345,2.7845526918392585,2.8374853662396093,8.620357840121303
Middle,Chronos-Bolt-Tiny,354,2024-07-31 00:00:00+00:00,2025-07-19 00:00:00+00:00,1669.6792681850281,2247.404213053078,1.9690967897907314,1.9663678424360393,5.920734875089058
Middle,TimesFM,354,2024-07-31 00:00:00+00:00,2025-07-19 00:00:00+00:00,1623.7673684675142,2221.895875160248,1.901096972154301,1.9063336536378448,5.757929843596655
Later,Naive,353,2025-07-20 00:00:00+00:00,2026-07-07 00:00:00+00:00,1401.3053541076488,1931.8601674809265,1.626705844179608,1.6210784017851987,4.9690725870561385
Later,Simple Exponential Smoothing — Rolling One-Step,353,2025-07-20 00:00:00+00:00,2026-07-07 00:00:00+00:00,1406.266984110648,1937.529135265606,1.6347408615110317,1.6288276287767836,4.986666682135237
