Model,Point Forecast Accuracy,Regime-Conditional Robustness,Temporal Stability,Uncertainty Calibration,Transparency and Auditability,Uncertainty Evidence Type,Exploratory Composite — Missing Evidence Penalised,Exploratory Composite — Evidence Available
7-Day Moving Average,61.79562737671479,77.55932767401377,61.660333104209656,83.41187558906691,99.0,Validation-Residual Empirical Interval,71.8841830758549,71.8841830758549
ARIMA Rolling One-Step,99.32068445699696,100.0,98.98851318911866,82.82280867106503,92.83333333333333,Validation-Residual Empirical Interval,96.26669683176576,96.26669683176576
Additive-Trend Exponential Smoothing,99.0341726501598,98.61181527935894,99.19374661637848,82.82280867106503,95.33333333333333,Validation-Residual Empirical Interval,96.1798274406965,96.1798274406965
Chronos-Bolt-Tiny,92.95974951405974,96.35262966233738,93.75021249528652,98.0914231856739,68.66666666666667,Training-Only CQR-Adjusted Foundation Quantiles,92.13686090596343,92.13686090596345
Naive,100.0,98.6725071044437,100.0,82.11592836946276,100.0,Validation-Residual Empirical Interval,97.05189067630815,97.05189067630815
Persistence-Enhanced Log-Return LSTM,98.53986790003879,97.11030923099953,98.40765487038792,,77.5,Unavailable,81.34254658529106,95.69711362975418
Persistence-Enhanced Log-Return Transformer,72.41429480641064,77.60986957166561,71.15457090085476,51.837888784165884,77.5,Validation-Residual Empirical Interval,70.62357459437268,70.62357459437268
Prophet — 30-Day Periodic Refit,17.19318032295354,25.72447466834045,17.03618830013938,,86.5,Unavailable,23.219745706729704,27.31734789027024
Simple Exponential Smoothing — Rolling One-Step,99.88647868284531,99.07059737772481,99.91333244307195,83.64750235626765,96.66666666666667,Validation-Residual Empirical Interval,96.97084552326204,96.97084552326203
TimesFM,96.33226340431844,97.63914338553008,95.99217698468394,69.50989632422242,65.5,Training-Only CQR-Adjusted Foundation Quantiles,89.41904071418762,89.41904071418762
