Domain,Protocol,Model,MAE,RMSE,MAPE,sMAPE,Within_Domain_Rank,MASE_48
Bitcoin,Rolling one-step daily,Naive,1290.3532422243168,1853.6247736716243,1.742746521465369,1.7441417265023809,1,
Bitcoin,Rolling one-step daily,Simple Exponential Smoothing — Rolling One-Step,1290.3586838554463,1855.731424427488,1.742684503138682,1.7438706638415449,2,
Bitcoin,Rolling one-step daily,Additive-Trend Exponential Smoothing,1308.5413137114867,1871.7021852846603,1.7636397847762826,1.7634242845198491,4,
Bitcoin,Rolling one-step daily,ARIMA Rolling One-Step,1299.8746375937496,1866.3028590728163,1.754003843176303,1.7542088564346432,3,
Bitcoin,Rolling one-step daily,7-Day Moving Average,2209.7761532247205,2999.6050729797894,3.021809829291693,3.024207684293784,9,
Bitcoin,Rolling one-step daily,Prophet — 30-Day Periodic Refit,8195.262861996911,10781.1628730315,11.199767058617567,11.287185079510287,10,
Bitcoin,Rolling one-step daily,Persistence-Enhanced Log-Return LSTM,1321.3653105878764,1881.0911899658583,1.7839563296496557,1.7916454886549884,5,
Bitcoin,Rolling one-step daily,Persistence-Enhanced Log-Return Transformer,2019.366341977937,2559.7498099332843,2.710935954361162,2.75927148965043,8,
Bitcoin,Rolling one-step daily,Chronos-Bolt-Tiny,1424.0258275653864,1994.0079263996645,1.934509000360176,1.928782487065369,7,
Bitcoin,Rolling one-step daily,TimesFM,1349.9467856090953,1924.1993369259185,1.823179416436292,1.823894758464343,6,
Electricity,Protocol A: rolling one-step 30-minute,Naive,42.271787459502775,58.27215207273269,3.4658920300552407,3.4868873173144648,6,0.3611184013957049
Electricity,Protocol A: rolling one-step 30-minute,Daily Seasonal Naive,129.41617978659912,200.44209755310683,10.640789564285743,10.471881770861089,8,1.1055734041066625
Electricity,Protocol A: rolling one-step 30-minute,Weekly Seasonal Naive,153.21076877564104,267.16168219561024,11.99943186179044,11.66229014362408,9,1.3088452422285448
Electricity,Protocol A: rolling one-step 30-minute,Moving Average,179.12222589245587,227.65877156527597,15.2433798753732,14.674739996933074,11,1.5302010100872336
Electricity,Protocol A: rolling one-step 30-minute,ARIMA,28.88133376722381,51.68136640699519,2.3169112970222434,2.332035699594564,4,0.2467267581288679
Electricity,Protocol A: rolling one-step 30-minute,SARIMA,17.131137451608996,25.3503602366177,1.4349309877840273,1.4354515277795683,2,0.146347465825565
Electricity,Protocol A: rolling one-step 30-minute,Prophet,177.10925541480796,243.84955782016863,14.79154254038582,14.598655615862407,10,1.5130046546778162
Electricity,Protocol A: rolling one-step 30-minute,Simple Exponential Smoothing,243.8381772340173,301.68121494741973,22.907775712300488,19.73830653962644,13,2.083054870730244
Electricity,Protocol A: rolling one-step 30-minute,Holt-Winters,179.62294129326145,269.63264196409807,14.643923683945342,14.424776598672024,12,1.5344785094777278
Electricity,Protocol A: rolling one-step 30-minute,DHR-ARIMA,26.646643448801345,50.28931701112083,2.142714894671859,2.158458895937731,3,0.2276362998373587
Electricity,Protocol A: rolling one-step 30-minute,LSTM,47.01906813585456,71.56553996583415,3.9153752360830194,3.888093373533812,7,0.4016733557009431
Electricity,Protocol A: rolling one-step 30-minute,Chronos-Bolt-Tiny,32.33201165869716,44.87908927221114,2.643583621963678,2.659077985440417,5,0.2762051255883502
Electricity,Protocol A: rolling one-step 30-minute,TimesFM,16.38829156817394,26.500199545599312,1.3493257771053488,1.3575753694486183,1,0.14000150001642
Electricity,Protocol B: 48-step day-ahead,Naive,243.8381789817221,301.6812166431743,22.907775896871037,19.73830666833037,11,2.083054885660494
Electricity,Protocol B: 48-step day-ahead,Daily Seasonal Naive,129.41617978659912,200.44209755310683,10.640789564285743,10.471881770861089,4,1.1055734041066625
Electricity,Protocol B: 48-step day-ahead,Weekly Seasonal Naive,153.21076877564104,267.16168219561024,11.99943186179044,11.66229014362408,6,1.3088452422285448
Electricity,Protocol B: 48-step day-ahead,Moving Average,203.19927685445023,260.2605602110981,17.756403755193848,16.456455421506075,9,1.73588585750581
Electricity,Protocol B: 48-step day-ahead,ARIMA,521.9705076308351,569.2498222090142,49.4128196729335,37.49104551559528,13,4.459077001934967
Electricity,Protocol B: 48-step day-ahead,SARIMA,122.78225628042182,196.03524137539716,10.003886935337054,9.94426098096038,2,1.0489012831601046
Electricity,Protocol B: 48-step day-ahead,Prophet,177.10925541480796,243.84955782016863,14.79154254038582,14.598655615862407,7,1.5130046546778162
Electricity,Protocol B: 48-step day-ahead,Simple Exponential Smoothing,243.8381772340173,301.68121494741973,22.907775712300488,19.73830653962644,10,2.083054870730244
Electricity,Protocol B: 48-step day-ahead,Holt-Winters,179.62294129326145,269.63264196409807,14.643923683945342,14.424776598672024,8,1.5344785094777278
Electricity,Protocol B: 48-step day-ahead,DHR-ARIMA,287.456182635078,329.8910478893651,26.42975724663122,22.72148700850468,12,2.4556737101296964
Electricity,Protocol B: 48-step day-ahead,LSTM,152.92681668695312,210.52325438050443,13.625374901283568,12.313675650965545,5,1.3064195032072603
Electricity,Protocol B: 48-step day-ahead,Chronos-Bolt-Tiny,126.11953364912506,188.8441048296465,10.536105197715326,10.09941667789778,3,1.0774108953820798
Electricity,Protocol B: 48-step day-ahead,TimesFM,80.67538403053535,126.98430020032391,6.570198672351434,6.447405034935265,1,0.689191715420169
