Model_Family,Domain,Protocol,Model,Relative_Accuracy_Score,Relative_Robustness_Score,Relative_Generalisation_Score,Uncertainty_Score,Explainability_Score,Penalised_Trust_Score,Evidence_Available_Trust_Score,Component_Basis
Naive,Bitcoin,Rolling one-step daily,Naive,100.0,99.84811814190104,100.0,86.2277063822301,99.0,97.80377958571472,97.80377958571472,Bitcoin frozen RMSE-relative framework
Naive,Electricity,Protocol A: rolling one-step 30-minute,Naive,38.76886347395234,36.96608576432721,38.68784532363907,,99.0,38.59988843347658,45.41163345114892,Electricity frozen MASE-48-relative framework
Naive,Electricity,Protocol B: 48-step day-ahead,Naive,33.08562439542443,46.17358256958729,32.595837919113045,,99.0,37.23385263613861,43.804532513104256,Electricity frozen MASE-48-relative framework
Chronos-Bolt-Tiny,Bitcoin,Rolling one-step daily,Chronos-Bolt-Tiny,92.95974951405974,95.2898918238257,93.75021249528652,93.78919540720618,69.0,91.31231250482428,91.31231250482428,Bitcoin frozen RMSE-relative framework
Chronos-Bolt-Tiny,Electricity,Protocol A: rolling one-step 30-minute,Chronos-Bolt-Tiny,50.68750976948743,33.528650441114564,52.02217429481287,65.9487419153083,63.0,51.04310465380233,51.04310465380233,Electricity frozen MASE-48-relative framework
Chronos-Bolt-Tiny,Electricity,Protocol B: 48-step day-ahead,Chronos-Bolt-Tiny,63.96739798846776,73.00413541000961,63.1149641782177,69.3272142783718,63.0,66.31149135536495,66.31149135536495,Electricity frozen MASE-48-relative framework
TimesFM,Bitcoin,Rolling one-step daily,TimesFM,96.33226340431844,98.00067170251704,95.99217698468394,78.04712535344015,63.0,90.52193073196769,90.52193073196769,Bitcoin frozen RMSE-relative framework
TimesFM,Electricity,Protocol A: rolling one-step 30-minute,TimesFM,100.0,100.0,100.0,67.55465,69.0,92.0331975,92.0331975,Electricity frozen MASE-48-relative framework
TimesFM,Electricity,Protocol B: 48-step day-ahead,TimesFM,100.0,100.0,100.0,61.19227999999999,69.0,91.078842,91.078842,Electricity frozen MASE-48-relative framework
ARIMA-family (best),Bitcoin,Rolling one-step daily,ARIMA Rolling One-Step,99.32068445699696,99.96574757445568,98.98851318911866,86.61508711921823,90.0,96.54535478054652,96.54535478054652,Bitcoin frozen RMSE-relative framework
ARIMA-family (best),Electricity,Protocol A: rolling one-step 30-minute,SARIMA,95.66376788737232,83.6773412269479,96.70120722593164,,76.6,77.21802845115623,90.84473935430144,Electricity frozen MASE-48-relative framework
ARIMA-family (best),Electricity,Protocol B: 48-step day-ahead,SARIMA,65.70606085482027,96.77067261043936,64.41483527643682,,76.6,62.89422287656232,73.99320338419098,Electricity frozen MASE-48-relative framework
Prophet,Bitcoin,Rolling one-step daily,Prophet — 30-Day Periodic Refit,17.19318032295354,25.00064630700337,17.03618830013938,0.0,82.0,22.62498003446229,26.61762356995564,Bitcoin frozen RMSE-relative framework
Prophet,Electricity,Protocol A: rolling one-step 30-minute,Prophet,9.253210132802426,2.6051018387737943,8.895440780627988,,74.0,12.938732070361205,15.222037729836712,Electricity frozen MASE-48-relative framework
Prophet,Electricity,Protocol B: 48-step day-ahead,Prophet,45.55119597876767,36.85805973141104,43.19886794274565,,74.0,39.35430412740002,46.299181326352965,Electricity frozen MASE-48-relative framework
Simple Exponential Smoothing,Bitcoin,Rolling one-step daily,Simple Exponential Smoothing — Rolling One-Step,99.88647868284532,100.0,99.91333244307197,87.09157940908773,94.6,97.4666709389734,97.4666709389734,Bitcoin frozen RMSE-relative framework
Simple Exponential Smoothing,Electricity,Protocol A: rolling one-step 30-minute,Simple Exponential Smoothing,6.720970339458249,3.3243491314217875,6.712082098807007,,94.0,13.759625864856147,16.18779513512488,Electricity frozen MASE-48-relative framework
Simple Exponential Smoothing,Electricity,Protocol B: 48-step day-ahead,Simple Exponential Smoothing,33.08562463256493,46.17358249858168,32.59583817798865,,94.0,36.73385275671179,43.2162973608374,Electricity frozen MASE-48-relative framework
Holt-Winters,Bitcoin,Rolling one-step daily,Additive-Trend Exponential Smoothing,99.0341726501598,99.43112686376756,99.19374661637848,86.61578248035505,92.0,96.5793024956384,96.5793024956384,Bitcoin frozen RMSE-relative framework
Holt-Winters,Electricity,Protocol A: rolling one-step 30-minute,Holt-Winters,9.123718524026163,2.224785271520598,8.78178531231462,,85.0,13.894615600176202,16.34660658844259,Electricity frozen MASE-48-relative framework
Holt-Winters,Electricity,Protocol B: 48-step day-ahead,Holt-Winters,44.91374178024435,30.045878056501422,42.646923672897614,,85.0,38.758369968965326,45.5980823164298,Electricity frozen MASE-48-relative framework
LSTM-family,Bitcoin,Rolling one-step daily,Persistence-Enhanced Log-Return LSTM,98.5398679000388,98.65058000972394,98.40765487038792,0.0,57.0,79.60060074103595,93.64776557768936,Bitcoin frozen RMSE-relative framework
LSTM-family,Electricity,Protocol A: rolling one-step 30-minute,LSTM,34.85456479235705,36.1889310665501,35.284161523474005,,57.0,32.19371619532979,37.87496022979976,Electricity frozen MASE-48-relative framework
LSTM-family,Electricity,Protocol B: 48-step day-ahead,LSTM,52.75424270138367,67.84160109419659,51.56765366297028,,57.0,48.04583589691767,56.52451281990314,Electricity frozen MASE-48-relative framework
