Origin,Timestamp,Horizon,Chronos_Bolt_Tiny
2012-07-13 00:00:00,2012-07-13 00:00:00,1,1472.1346
2012-07-13 00:00:00,2012-07-13 00:30:00,2,1381.6157
2012-07-13 00:00:00,2012-07-13 01:00:00,3,1282.9598
2012-07-13 00:00:00,2012-07-13 01:30:00,4,1190.5758
2012-07-13 00:00:00,2012-07-13 02:00:00,5,1102.9799
2012-07-13 00:00:00,2012-07-13 02:30:00,6,1036.3569
2012-07-13 00:00:00,2012-07-13 03:00:00,7,983.0065
2012-07-13 00:00:00,2012-07-13 03:30:00,8,954.9873
2012-07-13 00:00:00,2012-07-13 04:00:00,9,942.8971
2012-07-13 00:00:00,2012-07-13 04:30:00,10,933.7671
2012-07-13 00:00:00,2012-07-13 05:00:00,11,937.7471
2012-07-13 00:00:00,2012-07-13 05:30:00,12,965.3064
2012-07-13 00:00:00,2012-07-13 06:00:00,13,1019.55347
2012-07-13 00:00:00,2012-07-13 06:30:00,14,1117.4897
2012-07-13 00:00:00,2012-07-13 07:00:00,15,1229.5016
2012-07-13 00:00:00,2012-07-13 07:30:00,16,1340.7646
2012-07-13 00:00:00,2012-07-13 08:00:00,17,1434.0189
2012-07-13 00:00:00,2012-07-13 08:30:00,18,1503.9058
2012-07-13 00:00:00,2012-07-13 09:00:00,19,1528.2856
2012-07-13 00:00:00,2012-07-13 09:30:00,20,1525.3252
2012-07-13 00:00:00,2012-07-13 10:00:00,21,1473.2448
2012-07-13 00:00:00,2012-07-13 10:30:00,22,1412.6323
2012-07-13 00:00:00,2012-07-13 11:00:00,23,1384.7476
2012-07-13 00:00:00,2012-07-13 11:30:00,24,1393.0201
2012-07-13 00:00:00,2012-07-13 12:00:00,25,1378.8651
2012-07-13 00:00:00,2012-07-13 12:30:00,26,1346.049
2012-07-13 00:00:00,2012-07-13 13:00:00,27,1331.4901
2012-07-13 00:00:00,2012-07-13 13:30:00,28,1339.8315
2012-07-13 00:00:00,2012-07-13 14:00:00,29,1346.8567
2012-07-13 00:00:00,2012-07-13 14:30:00,30,1349.017
2012-07-13 00:00:00,2012-07-13 15:00:00,31,1336.3872
2012-07-13 00:00:00,2012-07-13 15:30:00,32,1338.7673
2012-07-13 00:00:00,2012-07-13 16:00:00,33,1357.324
2012-07-13 00:00:00,2012-07-13 16:30:00,34,1400.8145
2012-07-13 00:00:00,2012-07-13 17:00:00,35,1484.4386
2012-07-13 00:00:00,2012-07-13 17:30:00,36,1596.2966
2012-07-13 00:00:00,2012-07-13 18:00:00,37,1694.0875
2012-07-13 00:00:00,2012-07-13 18:30:00,38,1762.8619
2012-07-13 00:00:00,2012-07-13 19:00:00,39,1771.7487
2012-07-13 00:00:00,2012-07-13 19:30:00,40,1742.8145
2012-07-13 00:00:00,2012-07-13 20:00:00,41,1707.8953
2012-07-13 00:00:00,2012-07-13 20:30:00,42,1683.9166
2012-07-13 00:00:00,2012-07-13 21:00:00,43,1649.0537
2012-07-13 00:00:00,2012-07-13 21:30:00,44,1594.0311
2012-07-13 00:00:00,2012-07-13 22:00:00,45,1513.8514
2012-07-13 00:00:00,2012-07-13 22:30:00,46,1470.5593
2012-07-13 00:00:00,2012-07-13 23:00:00,47,1472.7682
2012-07-13 00:00:00,2012-07-13 23:30:00,48,1490.525
2012-07-14 00:00:00,2012-07-14 00:00:00,1,1506.1001
2012-07-14 00:00:00,2012-07-14 00:30:00,2,1401.711
2012-07-14 00:00:00,2012-07-14 01:00:00,3,1289.5006
2012-07-14 00:00:00,2012-07-14 01:30:00,4,1186.4548
2012-07-14 00:00:00,2012-07-14 02:00:00,5,1089.6414
2012-07-14 00:00:00,2012-07-14 02:30:00,6,1017.81244
2012-07-14 00:00:00,2012-07-14 03:00:00,7,963.0981
2012-07-14 00:00:00,2012-07-14 03:30:00,8,935.4961
2012-07-14 00:00:00,2012-07-14 04:00:00,9,923.3889
2012-07-14 00:00:00,2012-07-14 04:30:00,10,915.6859
2012-07-14 00:00:00,2012-07-14 05:00:00,11,917.91895
2012-07-14 00:00:00,2012-07-14 05:30:00,12,941.31104
2012-07-14 00:00:00,2012-07-14 06:00:00,13,976.1739
2012-07-14 00:00:00,2012-07-14 06:30:00,14,1047.2211
2012-07-14 00:00:00,2012-07-14 07:00:00,15,1135.3004
