Model,Horizon,MAE,RMSE,MAPE,sMAPE,MASE_48
Naive,1,79.90183632016632,83.17696157469553,6.192555218245433,5.996261841705277,0.6825834707879901
Naive,2,160.6247954074844,164.21723798230593,13.320262529215945,12.465857371625454,1.3721816092501953
Naive,3,256.7279832910603,259.5454363778949,23.154266999154157,20.729996085149192,2.193169593512645
Naive,4,334.6705333762993,337.7847944996154,32.4617602010875,27.901200287263805,2.859015321338822
Naive,5,389.63063248856554,393.82760087171584,39.93967870944758,33.23510381851449,3.328527124003541
Naive,6,425.0190033139293,430.70290701212264,45.25943911328417,36.79795773170488,3.6308420406059354
Naive,7,449.50229815384614,456.6866625086638,49.23369442199214,39.3315264676488,3.8399973383789634
Naive,8,462.03470526195423,470.6913920815403,51.404515518421775,40.646600039346914,3.947058882082452
Naive,9,466.26498591268194,476.6239265227282,52.25044890076656,41.0962731165185,3.9831972210989766
Naive,10,455.5919375280665,468.8272739555128,50.70383991823783,39.987924465762035,3.892019762034494
Naive,11,436.8200015509355,453.6861801599179,47.96448205519211,38.07801087772239,3.7316553223320477
Naive,12,392.26298297921,417.02596655961673,41.76558528159378,33.69787566787026,3.3510147039764817
Naive,13,341.0304862286902,376.4513220089423,35.25533805517919,28.89366326191031,2.9133469724242587
Naive,14,264.10675768191265,313.1870749752212,26.200880299757284,21.97754816336836,2.256204808544347
Naive,15,212.4357446382536,264.0978793545237,20.48658951529085,17.539360135375244,1.814790930631123
Naive,16,181.56657936798337,245.73169097444216,17.913117622501083,15.226029142013575,1.5510825737157874
Naive,17,167.96721581288983,229.66206995438299,16.286289172572122,14.004782253339112,1.4349062603361087
Naive,18,168.22247979833682,223.27658169019347,15.972232812182796,13.8969472458302,1.4370869233243209
Naive,19,174.34957637629938,227.09653982393937,16.645238798627364,14.46469324535085,1.4894293354721546
Naive,20,184.05306639916844,236.582854924477,17.720195917806468,15.32742943846058,1.5723240748624547
Naive,21,199.67511260498964,252.36540238359802,19.423187807141545,16.671230379241027,1.705779712568349
Naive,22,217.30994598128896,268.86616573367525,21.247894358259746,18.131005753844427,1.8564301397316134
Naive,23,233.1535666237006,284.9828764933616,22.86418609877138,19.40279682266466,1.9917786381642597
Naive,24,241.4303602931393,293.68114299943005,23.539287123691558,19.984377914609404,2.06248543052437
Naive,25,252.9532533201663,305.67511984539186,24.7019073077576,20.900476458478295,2.160922921802924
Naive,26,261.5172896465697,315.7496591586701,25.425980809012678,21.5051743640204,2.234083563771242
Naive,27,267.9815080810811,323.9549162458824,25.839104910166938,21.89372168502083,2.289305932344602
Naive,28,265.7420305093555,324.21004739238487,25.103103451231334,21.468048027863812,2.2701745776216007
Naive,29,268.15765864864863,326.8187907466019,25.024902771832654,21.51610689033801,2.2908107471439734
Naive,30,267.01824523492724,326.39322649289534,24.40720394840293,21.19807896122574,2.281076993848443
Naive,31,264.55006487525986,324.90622692928633,23.395506192852,20.657923378233477,2.2599918824915304
Naive,32,255.8560725862786,319.1520623475169,21.70156476506572,19.569791739705604,2.1857210558757587
Naive,33,239.527694010395,308.3365910559383,19.204385164336955,17.820655743658506,2.0462313791178057
Naive,34,218.51548853222454,292.9925656390253,16.543590453787065,15.823113279954162,1.8667288194178089
Naive,35,192.42790636798338,273.6478968551213,13.638189392384625,13.517478265296656,1.6438684547725932
Naive,36,179.23331396465696,260.3074187977397,11.930402334418568,12.222747187980175,1.53115001057806
Naive,37,188.62710145322245,265.48121136767304,11.8179989910458,12.457905076190483,1.6113990306643668
Naive,38,192.8070972120582,266.2999167673435,11.765910358436734,12.550999371669846,1.6471077971251582
Naive,39,184.49604567151766,252.68638800112998,11.307352657392855,12.043329017799996,1.5761083474540842
Naive,40,167.70655623076925,229.88351772152697,10.50994402282553,11.082147398093554,1.4326795039754028
Naive,41,151.7213032972973,209.9241788968247,9.7180825556807,10.139730329176952,1.2961210726393346
Naive,42,137.2143951891892,187.69759603861687,9.208757550175202,9.402502386441249,1.1721918096477195
Naive,43,130.15181592515592,169.34358843072772,9.438146133157922,9.325083450482943,1.1118577786819956
Naive,44,131.4603606777547,162.81359065816707,10.445556482981763,9.949099514751127,1.1230363830801633
Naive,45,147.1051081018711,177.02095988004234,12.645684057260048,11.66290653540805,1.2566859522035156
Naive,46,173.25548125155925,198.24249562490135,15.270764057331402,13.89319628566942,1.4800827261573841
Naive,47,212.33605674220374,230.88382558568205,19.025227050349613,17.096085613471192,1.8139393192888178
Naive,48,59.5181562016632,90.67515122020549,4.299011183502464,4.257967592087424,0.5084502622974065
Daily_Seasonal_Naive,1,51.50917348232848,78.36721663606528,3.9611100948203393,3.927644840512462,0.44003131883108754
Daily_Seasonal_Naive,2,46.757582750519745,72.8853878725658,3.8405554961181365,3.803251272108926,0.39943954468855175
Daily_Seasonal_Naive,3,45.02318062162162,70.6700269883829,4.012546898650868,3.970714247064286,0.38462293621735744
Daily_Seasonal_Naive,4,43.706592864864874,69.41584801822921,4.173756764461491,4.125148643493459,0.37337562223820203
Daily_Seasonal_Naive,5,42.75546271101871,68.15717876622752,4.290159713529478,4.240391810632122,0.36525033061183704
Daily_Seasonal_Naive,6,42.844652330561324,67.23851934881321,4.4427024001545865,4.394455763050687,0.3660122575320359
Daily_Seasonal_Naive,7,43.09448334303534,66.95578977802106,4.573855736972775,4.527399582703125,0.3681465078504101
Daily_Seasonal_Naive,8,43.58886057796258,66.548469446699,4.688653399733331,4.643792507637677,0.3723698617110526
Daily_Seasonal_Naive,9,44.80479201039501,66.77188606272912,4.852312325419513,4.808763462947352,0.382757291282311
Daily_Seasonal_Naive,10,49.142152559251564,70.61762327786447,5.289508663682053,5.24824477399415,0.41981038985734564
Daily_Seasonal_Naive,11,55.69899322037422,77.96404760313213,5.917338475658276,5.880753394175574,0.4758240093433766
Daily_Seasonal_Naive,12,69.67119827234927,97.62612022138487,7.154552476683236,7.135696339751152,0.5951854240263023
Daily_Seasonal_Naive,13,87.13120107484406,123.27624204517772,8.612470359241374,8.610964401892637,0.744342312800922
Daily_Seasonal_Naive,14,114.10981416632016,161.92642950566588,10.634467609347354,10.656806827212812,0.9748145548559934
Daily_Seasonal_Naive,15,138.82244877754675,195.63860188538405,12.305341053958205,12.335466556047427,1.1859290508690101
Daily_Seasonal_Naive,16,154.24050821621623,214.66103022771244,13.439496370469541,13.464955513614552,1.317642075364373
Daily_Seasonal_Naive,17,165.65527555093556,229.26149902129595,14.029686272280864,14.05700460426621,1.4151558730992517
Daily_Seasonal_Naive,18,170.29869501039502,232.79438370560428,14.227378908717789,14.245347732503436,1.4548235643180376
Daily_Seasonal_Naive,19,172.3559225176715,232.25654932337974,14.463812969287398,14.450515617907719,1.4723979976075376
Daily_Seasonal_Naive,20,176.29853594386694,235.8705756601623,14.897405558073572,14.826253545464679,1.5060788600303276
Daily_Seasonal_Naive,21,179.49683030977133,240.5397252629925,15.327885372239248,15.193497948149396,1.5334011716244318
Daily_Seasonal_Naive,22,183.65510476299377,246.56779782361443,15.802569061062863,15.59662070843456,1.5689243778420745
Daily_Seasonal_Naive,23,189.51180167151765,255.65421141535884,16.390313829784006,16.113557147567313,1.6189568262473253
Daily_Seasonal_Naive,24,193.9222110831601,261.908465274339,16.741629190948597,16.40437909190391,1.6566339648769306
Daily_Seasonal_Naive,25,197.14368676299375,267.3675370028585,17.05898562035012,16.687677441362904,1.6841543092378395
Daily_Seasonal_Naive,26,201.02344937214139,273.8640423481227,17.353660602490358,16.940694603012385,1.7172982512240271
Daily_Seasonal_Naive,27,205.4136523264033,280.52757566519017,17.63258531103144,17.203962117349235,1.7548027706192524
Daily_Seasonal_Naive,28,208.68115098544698,285.2205084645292,17.647641260316995,17.214920959852314,1.782716278971528
Daily_Seasonal_Naive,29,209.25975892515592,286.51674060368896,17.581832937659733,17.142690133112932,1.787659196855536
Daily_Seasonal_Naive,30,207.61125185862784,284.6146018565729,17.215453570773644,16.795199484073862,1.7735763706413745
Daily_Seasonal_Naive,31,204.93827783991685,283.46248087078686,16.645274108726408,16.239816561171665,1.7507417529774327
Daily_Seasonal_Naive,32,200.13257785654886,278.71896515029164,15.870932149596806,15.474871346483301,1.7096877356320868
Daily_Seasonal_Naive,33,193.50278255925156,272.8781916585897,14.85999881851026,14.486797376882215,1.6530508810482962
Daily_Seasonal_Naive,34,186.82426304989605,266.21738706372923,13.915033703619217,13.568566058364587,1.5959977864466313
Daily_Seasonal_Naive,35,177.275981004158,256.3435540336497,12.748729298125644,12.432065933093565,1.514428954001693
Daily_Seasonal_Naive,36,168.058745012474,246.14626452575467,11.70513374345294,11.413481213373423,1.4356881737639835
Daily_Seasonal_Naive,37,159.20849352598754,236.41481274772752,10.77853462054523,10.505900683196485,1.360082459862915
Daily_Seasonal_Naive,38,149.98093446153845,226.10207701561174,10.026950327095964,9.769924116168118,1.2812534919293816
Daily_Seasonal_Naive,39,143.62873002702705,216.647083433614,9.62720433482762,9.384049415301524,1.2269880338404124
Daily_Seasonal_Naive,40,136.55616425363826,205.75968615763426,9.268912901958565,9.041474704951863,1.1665686903646026
Daily_Seasonal_Naive,41,129.8463944906445,195.124703420048,8.921377142388172,8.713975947860565,1.1092486318535488
Daily_Seasonal_Naive,42,121.62514826819125,182.28830073258388,8.552809526341013,8.361631359574439,1.0390163688772789
Daily_Seasonal_Naive,43,112.274062002079,168.56184955150133,8.156948798654678,7.98298646837005,0.9591321357592243
Daily_Seasonal_Naive,44,100.88644808523908,151.96176573835024,7.628672146138917,7.479627413088473,0.8618503035845062
Daily_Seasonal_Naive,45,88.68144902286903,134.16332661163517,7.024303804682237,6.901667891642163,0.7575857333989762
Daily_Seasonal_Naive,46,77.54731662577962,117.95800460666638,6.362320720291445,6.263356840378161,0.6624693370077189
Daily_Seasonal_Naive,47,68.2622814095634,104.18163481617528,5.806083453340924,5.725393007544918,0.5831493631978806
Daily_Seasonal_Naive,48,59.5181562016632,90.67515122020549,4.299011183502464,4.257967592087424,0.5084502622974065
Weekly_Seasonal_Naive,1,78.5191198004158,125.65084085811193,5.990913890774171,5.9442027445882495,0.6707712336150505
Weekly_Seasonal_Naive,2,72.70423404158004,117.25168041735756,5.930369807123626,5.879366623272457,0.6210959684860061
Weekly_Seasonal_Naive,3,69.76934808316008,114.08268774385775,6.169547790750488,6.110064397083701,0.5960238958513048
Weekly_Seasonal_Naive,4,67.95457621621622,112.63154996042839,6.417291424508556,6.355113511051082,0.5805207067298015
Weekly_Seasonal_Naive,5,65.83579090644491,110.90423437255514,6.516700152599533,6.454545632453073,0.5624203989370844
Weekly_Seasonal_Naive,6,64.2619582972973,108.9165112544845,6.560335109305497,6.501359403462422,0.5489754998675975
Weekly_Seasonal_Naive,7,62.89195082120583,107.07059767209094,6.559169337722352,6.50308343877456,0.5372718332048079
Weekly_Seasonal_Naive,8,61.52075101455301,105.1780859764603,6.48184929354715,6.4285134587136845,0.5255579807293964
Weekly_Seasonal_Naive,9,60.24322413929315,103.2616725953703,6.357569895335874,6.311342311400948,0.5146443551019998
Weekly_Seasonal_Naive,10,60.46995094178795,102.84449769596249,6.299985689496139,6.261648162008612,0.516581231335325
Weekly_Seasonal_Naive,11,62.255209345114345,104.21634594275034,6.370259355197916,6.3364533661700975,0.5318322935551353
Weekly_Seasonal_Naive,12,66.51228217463618,110.97599830303231,6.526206385266896,6.497043037314594,0.5681995121473177
Weekly_Seasonal_Naive,13,73.29297075259875,121.5377204784386,6.887077649812309,6.8591650685767975,0.6261254141920748
Weekly_Seasonal_Naive,14,85.17928838877339,139.3025073386905,7.492367245342696,7.456584900443694,0.7276675604135735
Weekly_Seasonal_Naive,15,99.48129623908522,159.6029406157253,8.295170965114664,8.244080085188079,0.8498464064489184
Weekly_Seasonal_Naive,16,112.78913901663202,179.38461385466047,9.254644670442518,9.166466027774947,0.9635323231955671
Weekly_Seasonal_Naive,17,127.3460777962578,201.16096336084658,10.201619415044265,10.071754871113791,1.087888986995263
Weekly_Seasonal_Naive,18,139.63626711850313,220.0801398077486,11.084453333159155,10.904404322881026,1.1928813184681557
Weekly_Seasonal_Naive,19,150.2544339022869,237.21138823548185,12.022552303615495,11.77376133433807,1.2835899363231826
Weekly_Seasonal_Naive,20,162.82192545945946,256.12299527739304,13.117874973380458,12.799215743954647,1.3909511986078207
Weekly_Seasonal_Naive,21,173.61635435135133,274.7692878656116,14.115446363150866,13.711987412609655,1.4831655841280456
Weekly_Seasonal_Naive,22,184.5863611600832,293.36460278537015,15.140243580631218,14.636253939282959,1.576879892420885
Weekly_Seasonal_Naive,23,195.76354624948027,310.9782344354906,16.111854475234004,15.528452702410334,1.6723640783085487
Weekly_Seasonal_Naive,24,206.4535571995842,327.6076146258829,16.92474909601669,16.272933128174667,1.7636864447663758
Weekly_Seasonal_Naive,25,216.3337195384615,342.268812794449,17.755625199773018,17.038348452678427,1.8480904561359812
Weekly_Seasonal_Naive,26,227.32523827858626,357.5150131397938,18.614393260596678,17.828695331187337,1.9419885360349536
Weekly_Seasonal_Naive,27,237.01452762993762,370.8014761403013,19.31960573817606,18.47211770883054,2.0247619622727844
Weekly_Seasonal_Naive,28,244.3431324137214,382.0125473993564,19.65337115489845,18.78094259678831,2.0873685896011485
Weekly_Seasonal_Naive,29,249.30484000623701,388.99664884449965,19.9414004960517,19.054497528877924,2.129755344968868
Weekly_Seasonal_Naive,30,252.0693489293139,393.0398960757504,19.91134065813875,19.057571459158776,2.1533719247953558
Weekly_Seasonal_Naive,31,253.5324148607069,397.66300281281815,19.6427656536135,18.8136214798197,2.1658705689746993
Weekly_Seasonal_Naive,32,253.60760394178797,399.3914035785747,19.169830459632824,18.386740086630418,2.1665128924342505
Weekly_Seasonal_Naive,33,252.2097738128898,398.4218773057458,18.455778749448374,17.74004530288981,2.1545715430873833
Weekly_Seasonal_Naive,34,247.6793654054054,392.72491338577754,17.606598489717207,16.959038246411342,2.1158692799444356
Weekly_Seasonal_Naive,35,240.09625593970893,383.65933736091614,16.582808235130944,16.001111743647474,2.0510884761876893
Weekly_Seasonal_Naive,36,233.42947227858627,372.62895787669817,15.761227195671237,15.223103022368493,1.9941356383058741
Weekly_Seasonal_Naive,37,226.16553826819128,361.1697440616049,14.941989746941891,14.454087284813994,1.932081478893033
Weekly_Seasonal_Naive,38,215.85909079209978,346.6205984543887,14.148930241397967,13.708326870265566,1.844035809184825
Weekly_Seasonal_Naive,39,204.5723681850312,328.25551226365127,13.449750531674548,13.069511293457694,1.7476158688459857
Weekly_Seasonal_Naive,40,192.2348956091476,307.9347225081929,12.788338547795794,12.455690371013223,1.642219607139885
Weekly_Seasonal_Naive,41,181.5796864823285,290.8246156545945,12.217011979704429,11.90958118293472,1.5511945448545466
Weekly_Seasonal_Naive,42,171.55652593555092,274.0708474018678,11.806077504966474,11.521888539954249,1.4655689318602438
Weekly_Seasonal_Naive,43,160.63498971517672,255.73716650855474,11.451512461766223,11.185852587701058,1.3722686969348763
Weekly_Seasonal_Naive,44,147.48935760706863,233.76530191073644,10.967790857788785,10.730720070859705,1.259968509563716
Weekly_Seasonal_Naive,45,132.36697018711018,209.60303107785145,10.334402405507626,10.132657406663773,1.1307813448237907
Weekly_Seasonal_Naive,46,117.08624154261953,186.47081266053,9.489691550823155,9.321947498225889,1.0002415065085433
Weekly_Seasonal_Naive,47,103.17716808316008,166.37118492670587,8.676238906100826,8.537935021854697,0.8814194108640813
Weekly_Seasonal_Naive,48,90.28876237214139,146.05258561969768,6.4579971380521,6.398100183880566,0.7713166509237502
Moving_Average,1,124.37269806475226,149.55245610857742,9.771305667547429,10.274540133184818,1.0624880706887943
Moving_Average,2,98.00658816613881,136.15225211626375,8.118063823896232,8.094326960362878,0.8372483060648754
Moving_Average,3,127.47359348876364,168.1236706056729,11.25591686047013,10.474953311676998,1.0889783249626885
Moving_Average,4,181.83879299095722,223.40524696684594,17.159073702442072,15.349630937394767,1.5534080336566671
Moving_Average,5,234.9813501646512,272.605150766193,23.437100191496818,20.44468691450979,2.007392983099112
Moving_Average,6,274.4863349364665,309.5473736800491,28.46547034263652,24.356416698981064,2.344875209551605
Moving_Average,7,304.51027676643304,338.6639147717112,32.499236627008656,27.356855223048733,2.601363012146235
Moving_Average,8,323.33687752501646,358.0814671701024,35.058592210154856,29.17730426986293,2.762194440818799
Moving_Average,9,334.33852269661634,370.5709490405275,36.50860654278535,30.152695757104375,2.8561790285511495
Moving_Average,10,330.9920545780529,370.30858300462444,35.85878730902415,29.596951639539824,2.8275909018140184
Moving_Average,11,320.6018520980758,363.0050959268643,34.214623081807325,28.342729709505477,2.7388297318885315
Moving_Average,12,288.5512969367251,335.0481050766288,29.726877889455,25.009191144009048,2.4650290260442387
Moving_Average,13,252.4791279454609,304.276152173364,25.0661621654984,21.462315071514233,2.1568725750429536
Moving_Average,14,208.7780932703628,257.041526013838,19.439156689036604,17.326701521716632,1.783544435173581
Moving_Average,15,180.13712122711843,226.28385226306085,15.986370490316121,14.795047918007226,1.5388710333548374
Moving_Average,16,161.38733320968234,214.22788957366075,14.39735054492804,13.36360751493687,1.3786957987056876
Moving_Average,17,157.39397434045136,207.94576845882858,13.565928435562949,12.857844045733161,1.3445814293420173
Moving_Average,18,153.5464337526321,201.86887428897035,13.012134004134799,12.466469172888806,1.3117127528586898
Moving_Average,19,147.72779406444556,197.30144253536517,12.723360614495672,12.098864614141887,1.262005418752969
Moving_Average,20,148.62026752243716,198.04129828975096,13.059567287428612,12.29127304781386,1.2696296193796113
Moving_Average,21,153.90266305329354,202.58175515213506,13.870844036329316,12.874621049302446,1.3147559398946866
Moving_Average,22,163.25577121998285,210.86406511174914,14.968797461002058,13.735563079061619,1.3946574456559873
Moving_Average,23,174.46649940671006,222.2120781564112,16.16642609067591,14.707125905936671,1.490428182702561
Moving_Average,24,180.8090901706952,229.11037993443472,16.728759773180762,15.188552177048795,1.5446115133599585
Moving_Average,25,190.02014962771904,239.00157572964972,17.66536180002482,15.952832853317894,1.6232995288470697
Moving_Average,26,198.76893911888862,248.41256189320444,18.404604544476996,16.601463484037975,1.6980384756736124
Moving_Average,27,206.87682842089708,257.4748234259616,18.988027321803674,17.149227798963953,1.7673023558972631
Moving_Average,28,208.8175234913005,260.7716156789462,18.72392342922813,17.074073822340658,1.7838812787093634
Moving_Average,29,212.56419156938577,265.11109344247546,18.82098592612548,17.236079776039322,1.8158882239613157
Moving_Average,30,214.56600804333374,267.7463721131266,18.57343246405561,17.171035050435126,1.8329892932182572
Moving_Average,31,215.2697369780411,270.4093884007241,17.989902252239148,16.889466211262324,1.8390010917058628
Moving_Average,32,211.96385259603483,271.1955398051631,16.950940230509286,16.23939607511831,1.8107596627297915
Moving_Average,33,204.220609026844,270.39582562571286,15.406457214419724,15.190615400964367,1.744610869234778
Moving_Average,34,195.00012686580348,268.1108848207821,13.931013592305927,14.152778138791852,1.6658423577001649
Moving_Average,35,186.8136477144331,266.49963145142294,12.662175841887613,13.287043780605213,1.5959071020161153
Moving_Average,36,197.85339681018158,274.78853103045157,12.956649559818857,13.915060076065672,1.6902172030281828
Moving_Average,37,232.45546742158646,301.25922392146566,14.767022325102571,16.122624613850814,1.9858149332198072
Moving_Average,38,253.8544594022804,317.14766820302367,15.96892789721627,17.54654363969036,2.168621723279273
Moving_Average,39,255.01377244896426,313.65429239899584,16.21481579368798,17.79221570182973,2.178525474676981
Moving_Average,40,240.21152099265302,295.17549301376954,15.603783207721019,17.00582101045884,2.0520731596883772
Moving_Average,41,222.6917126948928,276.4402822810263,14.74120606592016,15.964781537965736,1.90240536597827
Moving_Average,42,199.0512685307856,252.10496205581123,13.565901104464723,14.497067633095522,1.7004503525309347
Moving_Average,43,171.82732231452408,225.28598959846033,12.219109928594545,12.756734745354914,1.4678822846034232
Moving_Average,44,145.5111506068171,200.71371776187172,10.983775753035804,11.081934070692144,1.2430691307464612
Moving_Average,45,128.76037935833241,186.9506571147807,10.471599607739924,10.09003500401015,1.099971048102263
Moving_Average,46,128.32551880154654,188.38169398265913,10.920980677029766,10.191822292737807,1.0962561318771802
Moving_Average,47,146.6236925665122,204.4120249279006,12.804831587374647,11.66709555904268,1.2525733272358013
Moving_Average,48,160.50960601593238,205.0669034405884,11.913440283208264,12.535844138337307,1.3711975721078136
