Horizon,Model_1,Model_2,Mean_Loss_Model_1,Mean_Loss_Model_2,Mean_Loss_Differential_M1_minus_M2,DM_Statistic,p_value_raw,p_value_HAC14,DM_Statistic_HAC14,Lower_Error_Winner,p_value_BH,Significant_raw_0.05,Significant_BH_0.05
1,TimesFM,Chronos_Bolt_Tiny,1873.2214371922612,3802.112727898433,-1928.8912907061717,-8.667644932338227,4.411499165265334e-18,1.5051719073959076e-14,-7.6870917567496555,TimesFM,1.008342666346362e-17,True,True
1,TimesFM,Daily_Seasonal_Naive,1873.2214371922612,6141.4206432839865,-4268.1992060917255,-5.454371303002733,4.914641380342264e-08,2.29030755348193e-06,-4.725959980582769,TimesFM,7.863426208547622e-08,True,True
1,TimesFM,LSTM,1873.2214371922612,4921.173589416664,-3047.952152224403,-8.511941818362931,1.7104440404539836e-17,7.293483516071417e-13,-7.173817478776827,TimesFM,3.420888080907967e-17,True,True
1,Chronos_Bolt_Tiny,Daily_Seasonal_Naive,3802.112727898433,6141.4206432839865,-2339.3079153855538,-3.1027344473741914,0.0019174160681397676,0.005207054748139324,-2.7939374616865766,Chronos_Bolt_Tiny,0.0021913326493025916,True,True
12,TimesFM,Chronos_Bolt_Tiny,3066.41533754299,6641.999215578396,-3575.583878035405,-9.327760428090972,1.0813149606368332e-20,5.155970985481028e-17,-8.383081589680927,TimesFM,3.460207874037866e-20,True,True
12,TimesFM,Daily_Seasonal_Naive,3066.41533754299,9530.85934948029,-6464.444011937299,-10.000260412661808,1.5199682766040858e-23,7.002613481134306e-18,-8.614861598253196,TimesFM,8.106497475221791e-23,True,True
12,TimesFM,LSTM,3066.41533754299,10660.672950623837,-7594.257613080848,-9.259696687411045,2.0501376017353716e-20,8.684060679363182e-18,-8.590170177001454,TimesFM,5.467033604627657e-20,True,True
12,Chronos_Bolt_Tiny,Daily_Seasonal_Naive,6641.999215578396,9530.85934948029,-2888.860133901894,-4.556443941904675,5.20269159562707e-06,3.775118588694275e-05,-4.120828813390322,Chronos_Bolt_Tiny,6.403312733079471e-06,True,True
24,TimesFM,Chronos_Bolt_Tiny,23352.8908095376,53943.18243725573,-30590.291627718132,-9.377511048551806,6.754840036127095e-21,1.0738735979239361e-18,-8.827138945901652,TimesFM,2.701936014450838e-20,True,True
24,TimesFM,Daily_Seasonal_Naive,23352.8908095376,68596.04418235963,-45243.15337282203,-10.627311251190571,2.224328977626653e-26,1.6794810777546025e-21,-9.523186794604388,TimesFM,1.7794631821013223e-25,True,True
24,TimesFM,LSTM,23352.8908095376,87866.00656695667,-64513.11575741908,-16.678603637679437,1.8755181779420387e-62,2.8141086449702033e-46,-14.28247879650269,TimesFM,3.000829084707262e-61,True,True
24,Chronos_Bolt_Tiny,Daily_Seasonal_Naive,53943.18243725573,68596.04418235963,-14652.861745103903,-5.001177718380005,5.69811561111906e-07,4.09532592460106e-07,-5.064472572141106,Chronos_Bolt_Tiny,7.59748748149208e-07,True,True
48,TimesFM,Chronos_Bolt_Tiny,7567.39204779044,13717.563518907056,-6150.171471116615,-5.220706163699409,1.782421570292661e-07,4.5363905677794666e-07,-5.044950389070454,TimesFM,2.5926131931529613e-07,True,True
48,TimesFM,Daily_Seasonal_Naive,7567.39204779044,8221.983048807133,-654.5910010166928,-0.8712583059392169,0.38361313046526907,0.40844106974947386,-0.8266401211003345,TimesFM,0.39560474515152627,False,False
48,TimesFM,LSTM,7567.39204779044,8126.757018425579,-559.3649706351385,-0.8494970964906328,0.39560474515152627,0.3984111990976934,-0.8444621613587727,TimesFM,0.39560474515152627,False,False
48,Chronos_Bolt_Tiny,Daily_Seasonal_Naive,13717.563518907056,8221.983048807133,5495.580470099922,6.694045522329996,2.1708383782208107e-11,5.819168207685407e-12,6.88400781014543,Daily_Seasonal_Naive,3.859268227948108e-11,True,True
