Origin,Timestamp,Horizon,Prophet
2012-07-13 00:00:00,2012-07-13 00:00:00,1,1496.8838975078463
2012-07-13 00:00:00,2012-07-13 00:30:00,2,1467.3742730664737
2012-07-13 00:00:00,2012-07-13 01:00:00,3,1424.7845032549333
2012-07-13 00:00:00,2012-07-13 01:30:00,4,1369.8929138960061
2012-07-13 00:00:00,2012-07-13 02:00:00,5,1307.21062915543
2012-07-13 00:00:00,2012-07-13 02:30:00,6,1244.2856207042428
2012-07-13 00:00:00,2012-07-13 03:00:00,7,1190.220245863704
2012-07-13 00:00:00,2012-07-13 03:30:00,8,1153.7475010790176
2012-07-13 00:00:00,2012-07-13 04:00:00,9,1141.324526965136
2012-07-13 00:00:00,2012-07-13 04:30:00,10,1155.6999593100068
2012-07-13 00:00:00,2012-07-13 05:00:00,11,1195.295208568683
2012-07-13 00:00:00,2012-07-13 05:30:00,12,1254.5388934822695
2012-07-13 00:00:00,2012-07-13 06:00:00,13,1325.0602345102493
2012-07-13 00:00:00,2012-07-13 06:30:00,14,1397.4409641786704
2012-07-13 00:00:00,2012-07-13 07:00:00,15,1463.098311449043
2012-07-13 00:00:00,2012-07-13 07:30:00,16,1515.8547839899932
2012-07-13 00:00:00,2012-07-13 08:00:00,17,1552.8457370777378
2012-07-13 00:00:00,2012-07-13 08:30:00,18,1574.5958847815898
2012-07-13 00:00:00,2012-07-13 09:00:00,19,1584.3121954871392
2012-07-13 00:00:00,2012-07-13 09:30:00,20,1586.6358068933132
2012-07-13 00:00:00,2012-07-13 10:00:00,21,1586.2192861680878
2012-07-13 00:00:00,2012-07-13 10:30:00,22,1586.5173880896218
2012-07-13 00:00:00,2012-07-13 11:00:00,23,1589.0968595291874
2012-07-13 00:00:00,2012-07-13 11:30:00,24,1593.609251203593
2012-07-13 00:00:00,2012-07-13 12:00:00,25,1598.3763079806236
2012-07-13 00:00:00,2012-07-13 12:30:00,26,1601.3644541438878
2012-07-13 00:00:00,2012-07-13 13:00:00,27,1601.2204790773317
2012-07-13 00:00:00,2012-07-13 13:30:00,28,1598.0324519929854
2012-07-13 00:00:00,2012-07-13 14:00:00,29,1593.5688678670717
2012-07-13 00:00:00,2012-07-13 14:30:00,30,1590.908833278424
2012-07-13 00:00:00,2012-07-13 15:00:00,31,1593.560977728632
2012-07-13 00:00:00,2012-07-13 15:30:00,32,1604.3261181317505
2012-07-13 00:00:00,2012-07-13 16:00:00,33,1624.2436083874059
2012-07-13 00:00:00,2012-07-13 16:30:00,34,1651.9489953578195
2012-07-13 00:00:00,2012-07-13 17:00:00,35,1683.6633424219065
2012-07-13 00:00:00,2012-07-13 17:30:00,36,1713.8611929388321
2012-07-13 00:00:00,2012-07-13 18:00:00,37,1736.472233045163
2012-07-13 00:00:00,2012-07-13 18:30:00,38,1746.3146972460193
2012-07-13 00:00:00,2012-07-13 19:00:00,39,1740.3810272399905
2012-07-13 00:00:00,2012-07-13 19:30:00,40,1718.6216371715764
2012-07-13 00:00:00,2012-07-13 20:00:00,41,1683.9963717189512
2012-07-13 00:00:00,2012-07-13 20:30:00,42,1641.7538413519244
2012-07-13 00:00:00,2012-07-13 21:00:00,43,1598.1059155737557
2012-07-13 00:00:00,2012-07-13 21:30:00,44,1558.6324399166488
2012-07-13 00:00:00,2012-07-13 22:00:00,45,1526.833482051992
2012-07-13 00:00:00,2012-07-13 22:30:00,46,1503.2190600209647
2012-07-13 00:00:00,2012-07-13 23:00:00,47,1485.1942815990876
2012-07-13 00:00:00,2012-07-13 23:30:00,48,1467.7941024228703
2012-07-14 00:00:00,2012-07-14 00:00:00,1,1445.0990881895602
2012-07-14 00:00:00,2012-07-14 00:30:00,2,1411.9801088146726
2012-07-14 00:00:00,2012-07-14 01:00:00,3,1365.724692326139
2012-07-14 00:00:00,2012-07-14 01:30:00,4,1307.117110880332
2012-07-14 00:00:00,2012-07-14 02:00:00,5,1240.6747006011772
2012-07-14 00:00:00,2012-07-14 02:30:00,6,1173.951899785372
2012-07-14 00:00:00,2012-07-14 03:00:00,7,1116.0577751636802
