Origin,Timestamp,Horizon,TimesFM
2012-07-13 00:00:00,2012-07-13 00:00:00,1,1453.7448
2012-07-13 00:00:00,2012-07-13 00:30:00,2,1374.1136
2012-07-13 00:00:00,2012-07-13 01:00:00,3,1267.5457
2012-07-13 00:00:00,2012-07-13 01:30:00,4,1169.1034
2012-07-13 00:00:00,2012-07-13 02:00:00,5,1075.8765
2012-07-13 00:00:00,2012-07-13 02:30:00,6,1014.3875
2012-07-13 00:00:00,2012-07-13 03:00:00,7,966.7244
2012-07-13 00:00:00,2012-07-13 03:30:00,8,929.81995
2012-07-13 00:00:00,2012-07-13 04:00:00,9,912.36865
2012-07-13 00:00:00,2012-07-13 04:30:00,10,911.3071
2012-07-13 00:00:00,2012-07-13 05:00:00,11,908.3882
2012-07-13 00:00:00,2012-07-13 05:30:00,12,935.0375
2012-07-13 00:00:00,2012-07-13 06:00:00,13,993.43207
2012-07-13 00:00:00,2012-07-13 06:30:00,14,1085.0848
2012-07-13 00:00:00,2012-07-13 07:00:00,15,1202.7552
2012-07-13 00:00:00,2012-07-13 07:30:00,16,1279.1024
2012-07-13 00:00:00,2012-07-13 08:00:00,17,1380.2941
2012-07-13 00:00:00,2012-07-13 08:30:00,18,1439.2888
2012-07-13 00:00:00,2012-07-13 09:00:00,19,1462.6448
2012-07-13 00:00:00,2012-07-13 09:30:00,20,1445.8074
2012-07-13 00:00:00,2012-07-13 10:00:00,21,1425.3602
2012-07-13 00:00:00,2012-07-13 10:30:00,22,1391.7217
2012-07-13 00:00:00,2012-07-13 11:00:00,23,1343.173
2012-07-13 00:00:00,2012-07-13 11:30:00,24,1330.3137
2012-07-13 00:00:00,2012-07-13 12:00:00,25,1307.3835
2012-07-13 00:00:00,2012-07-13 12:30:00,26,1295.7078
2012-07-13 00:00:00,2012-07-13 13:00:00,27,1290.077
2012-07-13 00:00:00,2012-07-13 13:30:00,28,1282.8734
2012-07-13 00:00:00,2012-07-13 14:00:00,29,1260.34
2012-07-13 00:00:00,2012-07-13 14:30:00,30,1247.8271
2012-07-13 00:00:00,2012-07-13 15:00:00,31,1259.2197
2012-07-13 00:00:00,2012-07-13 15:30:00,32,1258.5887
2012-07-13 00:00:00,2012-07-13 16:00:00,33,1270.2653
2012-07-13 00:00:00,2012-07-13 16:30:00,34,1302.488
2012-07-13 00:00:00,2012-07-13 17:00:00,35,1375.468
2012-07-13 00:00:00,2012-07-13 17:30:00,36,1480.4243
2012-07-13 00:00:00,2012-07-13 18:00:00,37,1607.0173
2012-07-13 00:00:00,2012-07-13 18:30:00,38,1653.8716
2012-07-13 00:00:00,2012-07-13 19:00:00,39,1638.5188
2012-07-13 00:00:00,2012-07-13 19:30:00,40,1604.555
2012-07-13 00:00:00,2012-07-13 20:00:00,41,1569.2408
2012-07-13 00:00:00,2012-07-13 20:30:00,42,1543.96
2012-07-13 00:00:00,2012-07-13 21:00:00,43,1517.99
2012-07-13 00:00:00,2012-07-13 21:30:00,44,1467.6385
2012-07-13 00:00:00,2012-07-13 22:00:00,45,1416.4742
2012-07-13 00:00:00,2012-07-13 22:30:00,46,1347.0367
2012-07-13 00:00:00,2012-07-13 23:00:00,47,1323.6046
2012-07-13 00:00:00,2012-07-13 23:30:00,48,1450.5839
2012-07-14 00:00:00,2012-07-14 00:00:00,1,1488.9918
2012-07-14 00:00:00,2012-07-14 00:30:00,2,1397.6296
2012-07-14 00:00:00,2012-07-14 01:00:00,3,1290.1749
2012-07-14 00:00:00,2012-07-14 01:30:00,4,1178.5302
2012-07-14 00:00:00,2012-07-14 02:00:00,5,1074.2882
2012-07-14 00:00:00,2012-07-14 02:30:00,6,1004.80725
2012-07-14 00:00:00,2012-07-14 03:00:00,7,950.33484
2012-07-14 00:00:00,2012-07-14 03:30:00,8,918.38007
2012-07-14 00:00:00,2012-07-14 04:00:00,9,894.57184
2012-07-14 00:00:00,2012-07-14 04:30:00,10,898.4317
