Model,MAE,RMSE,MAPE,sMAPE,MASE_48,Relative Accuracy Score,Relative Robustness Score,Relative Generalisation Score,Uncertainty Score,Explainability Score,Overall Trust Score - Missing Evidence Penalised,Evidence-Available Trust Score,Unavailable Dimensions
Naive,243.8381789817221,301.6812166431743,22.907775896871033,19.73830666833037,2.083054885660494,33.08562439542443,46.17358256958729,32.595837919113045,,99.0,37.233852636138614,43.804532513104256,Uncertainty Score
Daily_Seasonal_Naive,129.41617978659912,200.44209755310683,10.640789564285743,10.471881770861089,1.1055734041066625,62.337942723672626,76.16535366747601,60.64993845272805,,99.0,59.08133837732623,69.50745691450145,Uncertainty Score
Weekly_Seasonal_Naive,153.21076877564104,267.16168219561024,11.99943186179044,11.66229014362408,1.3088452422285448,52.656471000856904,33.586588773367396,47.81396648473172,,99.0,44.609875901919736,52.48220694343498,Uncertainty Score
Moving_Average,203.19927685445023,260.2605602110981,17.756403755193848,16.456455421506075,1.73588585750581,39.702594064014505,49.94351229551496,39.61504655078838,,96.0,41.407619691665744,48.714846696077345,Uncertainty Score
ARIMA,521.9705076308351,569.2498222090142,49.4128196729335,37.491045515595275,4.459077001934967,15.455927653213926,32.97983021319162,14.911832046341587,,83.2,23.307907130531518,27.42106721239002,Uncertainty Score
SARIMA,122.78225628042182,196.03524137539713,10.003886935337054,9.94426098096038,1.0489012831601046,65.70606085482027,96.77067261043935,64.41483527643682,,76.6,62.894222876562324,73.99320338419098,Uncertainty Score
Prophet,177.10925541480796,243.84955782016866,14.791542540385821,14.598655615862407,1.5130046546778162,45.551195978767666,36.85805973141104,43.19886794274565,,74.0,39.35430412740002,46.299181326352965,Uncertainty Score
Simple_Exponential_Smoothing,243.8381772340173,301.68121494741973,22.907775712300488,19.73830653962644,2.0830548707302436,33.08562463256493,46.17358249858168,32.59583817798865,,94.0,36.73385275671179,43.2162973608374,Uncertainty Score
Holt_Winters,179.62294129326145,269.63264196409807,14.643923683945342,14.424776598672025,1.5344785094777278,44.91374178024435,30.045878056501422,42.646923672897614,,85.0,38.758369968965326,45.598082316429796,Uncertainty Score
DHR_ARIMA,287.456182635078,329.8910478893651,26.42975724663122,22.721487008504678,2.4556737101296964,28.065280520666946,45.863182184605364,27.032732173675505,,79.0,32.30203105388961,38.00238947516424,Uncertainty Score
LSTM,152.92681668695312,210.52325438050443,13.625374901283568,12.313675650965545,1.3064195032072605,52.75424270138367,67.84160109419659,51.56765366297028,,57.0,48.045835896917666,56.52451281990314,Uncertainty Score
Chronos_Bolt_Tiny,126.11953364912506,188.84410482964654,10.536105197715326,10.09941667789778,1.0774108953820798,63.96739798846776,73.00413541000961,63.114964178217704,69.3272142783718,63.0,66.31149135536495,66.31149135536495,No unavailable dimensions
TimesFM,80.67538403053535,126.98430020032391,6.570198672351434,6.447405034935265,0.689191715420169,100.0,99.99999999999999,99.99999999999999,61.19227999999999,69.0,91.07884200000001,91.07884200000001,No unavailable dimensions
