Protocol,Weight_Scheme,Score_Type,Model,Trust_Score,Rank
A,Primary,Missing Evidence Penalised,Naive,38.59988843347658,4
A,Primary,Missing Evidence Penalised,Daily_Seasonal_Naive,18.209447358164518,6
A,Primary,Missing Evidence Penalised,Weekly_Seasonal_Naive,16.109815414011287,7
A,Primary,Missing Evidence Penalised,Moving_Average,15.499583290793744,8
A,Primary,Missing Evidence Penalised,DHR_ARIMA,53.52839240034254,2
A,Primary,Missing Evidence Penalised,LSTM,32.19371619532979,5
A,Primary,Missing Evidence Penalised,Chronos_Bolt_Tiny,51.04310465380233,3
A,Primary,Missing Evidence Penalised,TimesFM,92.0331975,1
A,Primary,Evidence Available,Naive,45.411633451148916,4
A,Primary,Evidence Available,Daily_Seasonal_Naive,21.422879244899434,6
A,Primary,Evidence Available,Weekly_Seasonal_Naive,18.952724016483867,7
A,Primary,Evidence Available,Moving_Average,18.234803871522054,8
A,Primary,Evidence Available,DHR_ARIMA,62.97457929452064,2
A,Primary,Evidence Available,LSTM,37.874960229799754,5
A,Primary,Evidence Available,Chronos_Bolt_Tiny,51.04310465380233,3
A,Primary,Evidence Available,TimesFM,92.0331975,1
A,Accuracy-heavy,Missing Evidence Penalised,Naive,38.69407822647349,4
A,Accuracy-heavy,Missing Evidence Penalised,Daily_Seasonal_Naive,18.506444485253,6
A,Accuracy-heavy,Missing Evidence Penalised,Weekly_Seasonal_Naive,16.562967754895734,7
A,Accuracy-heavy,Missing Evidence Penalised,Moving_Average,15.740166746963533,8
A,Accuracy-heavy,Missing Evidence Penalised,DHR_ARIMA,53.65297060664302,2
A,Accuracy-heavy,Missing Evidence Penalised,LSTM,32.105518045064294,5
A,Accuracy-heavy,Missing Evidence Penalised,Chronos_Bolt_Tiny,51.8343143939547,3
A,Accuracy-heavy,Missing Evidence Penalised,TimesFM,92.0331975,1
A,Accuracy-heavy,Evidence Available,Naive,45.52244497232176,4
A,Accuracy-heavy,Evidence Available,Daily_Seasonal_Naive,21.77228762970941,6
A,Accuracy-heavy,Evidence Available,Weekly_Seasonal_Naive,19.485844417524394,7
A,Accuracy-heavy,Evidence Available,Moving_Average,18.517843231721805,8
A,Accuracy-heavy,Evidence Available,DHR_ARIMA,63.12114189016827,2
A,Accuracy-heavy,Evidence Available,LSTM,37.77119770007563,5
A,Accuracy-heavy,Evidence Available,Chronos_Bolt_Tiny,51.834314393954706,3
A,Accuracy-heavy,Evidence Available,TimesFM,92.0331975,1
A,Trust-balance,Missing Evidence Penalised,Naive,36.571306374297706,4
